Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
900682,An Inspector Calls,J.B. Priestley,"Priestley, J.B.",,"=""3150092183""","=""9783150092187""",0,3.82,Reclam,Paperback,117,1987,1945,,2024/07/30,,,read,,,,2,0
5326,A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,"=""1561797464""","=""9781561797462""",0,4.09,Bethany House Publishers ,Paperback,184,1999,1843,2024/07/30,2024/07/29,,,read,,,,1,0
59634120,Small Worlds,Caleb Azumah Nelson,"Nelson, Caleb Azumah",,"=""024157434X""","=""9780241574348""",0,4.28,Viking,Paperback,260,2023,2023,,2024/06/30,to-read,to-read (#56),to-read,,,,0,0
53414230,Open Water,Caleb Azumah Nelson,"Nelson, Caleb Azumah",,"=""0241448778""","=""9780241448779""",0,4.01,VIKIN,Hardcover,145,2021,2021,2024/06/27,2024/06/27,,,read,,,,1,0
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",0,3.99,Harper,Paperback,228,2005,1983,2024/06/01,2024/06/01,,,read,,,,1,0
9844,Prep,Curtis Sittenfeld,"Sittenfeld, Curtis",,"=""081297235X""","=""9780812972351""",0,3.44,Random House Trade Paperbacks,Paperback,420,2005,2005,2024/05/13,2024/05/13,,,read,,,,1,0
32994196,Swing Time,Zadie Smith,"Smith, Zadie",Pippa Bennett-Warner,"=""""","=""""",4,3.56,Penguin Audio,Audiobook,,2016,2016,2024/04/22,2023/07/31,,,read,,,,1,0
253984,"A Time of Gifts (Trilogy, #1)",Patrick Leigh Fermor,"Fermor, Patrick Leigh",Jan Morris,"=""1590171659""","=""9781590171653""",0,4.04,NYRB Classics,Paperback,321,2005,1977,,2024/04/21,to-read,to-read (#55),to-read,,,,0,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",0,4.10,Ace,Paperback,304,2000,1969,,2024/04/11,to-read,to-read (#54),to-read,,,,0,0
22590,Ubik,Philip K. Dick,"Dick, Philip K.",,"=""8498000831""","=""9788498000832""",0,4.11,La factoría de ideas,Paperback,288,2004,1969,,2024/04/11,to-read,to-read (#53),to-read,,,,0,0
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,"=""""","=""""",0,4.09,Ballantine Books,ebook,258,2008,1968,,2024/04/11,to-read,to-read (#52),to-read,,,,0,0
123160931,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",0,3.82,Vintage,Paperback,294,1999,1929,,2024/03/09,to-read,to-read (#51),to-read,,,,0,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.22,Crown,Paperback,544,2004,2003,,2024/02/19,to-read,to-read (#50),to-read,,,,0,0
29044,The Secret History,Donna Tartt,"Tartt, Donna",,"=""1400031702""","=""9781400031702""",5,4.16,Vintage Books,Paperback,559,2004,1992,2023/08/22,2023/08/02,favorites,favorites (#4),read,,,,2,0
43697186,Red at the Bone,Jacqueline Woodson,"Woodson, Jacqueline",,"=""0525535276""","=""9780525535270""",0,3.96,Riverhead Books,Hardcover,196,2019,2019,,2024/01/22,to-read,to-read (#49),to-read,,,,0,0
25622780,Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",Edwidge Danticat,"=""0393352560""","=""9780393352566""",0,3.59,W. W. Norton & Company,Paperback,176,2016,1966,,2024/01/21,to-read,to-read (#48),to-read,,,,0,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,4.05,Penguin Random House ,Paperback,331,2012,2011,2022/01/01,2022/05/16,favorites,favorites (#3),read,,,,1,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,4.14,Faber & Faber,Paperback,258,2005,1989,,2024/01/11,to-read,to-read (#47),to-read,,,,0,0
54976983,Finding the Mother Tree: Discovering the Wisdom of the Forest,Suzanne Simard,"Simard, Suzanne",,"=""052565609X""","=""9780525656098""",0,4.21,Knopf,Hardcover,348,2021,2021,,2024/01/11,to-read,to-read (#46),to-read,,,,0,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",5,3.96,Random House,Paperback,321,1997,1997,2024/01/10,2024/01/01,,,read,,,,1,0
3711,White Teeth,Zadie Smith,"Smith, Zadie",,"=""0375703861""","=""9780375703867""",0,3.79,Vintage,Paperback,448,2001,2000,,2024/01/02,to-read,to-read (#45),to-read,,,,0,0
41081373,"Girl, Woman, Other",Bernardine Evaristo,"Evaristo, Bernardine",,"=""0241364906""","=""9780241364901""",0,4.27,Hamish Hamilton,Kindle Edition,453,2019,2019,,2024/01/02,to-read,to-read (#44),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,277,2001,1951,2022/01/01,2024/01/02,,,read,,,,1,0
67238,Dead Poets Society,N.H. Kleinbaum,"Kleinbaum, N.H.",Tom Schulman,"=""0553282980""","=""9780553282986""",0,4.17,Starfire,Paperback,166,1989,1988,,2024/01/02,to-read,to-read (#43),to-read,,,,0,0
14836,Midnight’s Children,Salman Rushdie,"Rushdie, Salman",,"=""0099578514""","=""9780099578512""",0,3.98,Vintage,Paperback,647,1995,1981,,2024/01/02,to-read,to-read (#42),to-read,,,,0,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",4,3.89,Penguin Books,Paperback,107,2002,1937,2024/01/01,2024/01/01,,,read,,,,1,0
41219,Possession,A.S. Byatt,"Byatt, A.S.",,"=""0679735909""","=""9780679735908""",0,3.90,Vintage,Paperback,555,1991,1990,,2024/01/01,to-read,to-read (#41),to-read,,,,0,0
